Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
1,2,CABIROU,Marine,FRA,SCOTT DOWNHILL FACTORY,W,22,,,00:03:34.304,
2,1,HANNAH,Tracey,AUS,POLYGON UR,W,31,,,00:03:34.568,
3,10,SIEGENTHALER,Emilie,SUI,PIVOT FACTORY RACING,W,33,,,00:03:41.389,
4,6,WEATHERLY,Kate,NZL,,W,22,,,00:03:41.782,
5,8,BALANCHE,Camille,SUI,,W,29,,,00:03:41.953,
6,9,FARINA,Eleonora,ITA,MS MONDRAKER TEAM,W,29,,,00:03:42.798,
7,13,HRASTNIK,Monika,SLO,DORVAL AM,W,25,,,00:03:43.644,
8,21,RICHTER,Raphaela,GER,,W,22,,,00:03:44.136,
9,5,WIDMANN,Veronika,ITA,INSYNC,W,26,,,00:03:44.459,
10,15,A'HERN,Sian,AUS,,W,21,,,00:03:48.528,
11,11,CAPPELLARI,Carina,SUI,TEAMPROJECT.CH,W,28,,,00:03:49.561,
12,12,RÃœBESAM,Sandra,GER,,W,31,,,00:03:57.264,
13,3,HOFFMANN,Nina,GER,,W,23,,,00:03:59.557,
14,7,SALAZAR,Mariana,ESA,DORVAL AM,W,25,,,00:04:00.669,
15,29,ZIBASA,Paula,LAT,SRAM YOUNG GUNS RACING,W,19,,,00:04:07.118,
